;id;Affiliation;Post;birthyear;takeover;tenure in years;party affiliation;gender;aff2;origin_province;a48;a47;a46;a45;a44;a43;a42;a41;a40;a39;a38;a37;a36;a35;a34;a33;a32;a31;a30;a29;a28;a27;a26;a25;a24;a23;a22;a21;a20;a19;a18;a17;a16;a15;a14;a13;a12;a11;a10;a9;a8;a7;a6;a5;a4;a3;a2;a1;a0
Samir Dilou;64;Moncef Marzouki;Ministre des Droits de l'homme;1966;2011;1;Ennahdha;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Noureddine El Khademi;65;Moncef Marzouki;Ministre des Affaires religieuses;1963;2011;1;Independant;m;Demokratie;Kasserine;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;;;;;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;p
Houssine Dimassi;66;Moncef Marzouki;Ministre de la formation professionelle et de l'Emploi;1948;2011;1;Nidaa Tounes;m;Demokratie;Monastir;;;;;;;;;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Mohamed Lamine Chakhari;67;Moncef Marzouki;Ministre de l'Industrie;1957;2011;1;Ennahdha;m;Demokratie;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Elyes Fakhfakh;68;Moncef Marzouki;Ministre du Tourisme;1972;2011;1;Ettakatol;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad
Khalil Zaouia;69;Moncef Marzouki;Ministre des Affaires sociales;1961;2011;1;Ettakatol;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;gew;gew;gew;gew;gew;p;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;p
Abdellatif Abid;70;Moncef Marzouki;Ministre de l'Education;1947;2011;1;Ettakatol;m;Demokratie;Nabeul;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Abdellatif Mekki;71;Moncef Marzouki;Ministre de la Sant_ publique;1962;2011;3;Ennahdha;m;Demokratie;Le Kef;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;gef;gef;gef;;;;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp;opp;opp;opp;opp
Riadh Bettaieb;72;Moncef Marzouki;Ministre de l'investissement et de la Coop_ration internationale;1961;2011;1;Ennahdha;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Abdelwahab Maatar;73;Moncef Marzouki;Ministre de la Formation professionelle et de l'Emploi;1952;2011;1;CPR;m;Demokratie;Sfax;;;;;;;;;;;ut;ut;ut;ut;ut;ad;ad;adh;adh;adh;adh;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Abdelkarim Harouni;74;Moncef Marzouki;Ministre du Transport;1960;2011;3;Ennahdha;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;p;p;p;opp;opp;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp
Mongi Marzouk;75;Moncef Marzouki;Ministre des Technologies et de la Communication;1961;2011;3;Ennahdha;m;Demokratie;Gabes;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Jameleddine Gharbi;77;Moncef Marzouki;Ministre du D_veloppement et de la Planification ;1964;2011;2;Ennahdha;m;Demokratie;Jendouba;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ue;ue;ue;ue;ue;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Tarak Dhiab;78;Moncef Marzouki;Ministre de la Jeunesse et des Sports;1954;2011;3;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;ad;ad;gef
Mehdi Mabrouk;79;Moncef Marzouki;Ministre de la Culture;1963;2011;3;Independant;m;Demokratie;Mahdia;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Sihem Badi;80;Moncef Marzouki;Ministre des Affaires de la femme;1967;2011;3;CPR;f;Demokratie;Tozeur;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;gef;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;uf;uf;uf;uf;uf;;;;
Moncef Ben Salem;81;Moncef Marzouki;Ministre de l'Enseingement sup_rieur;1953;2011;1;Ennahdha;m;Demokratie;;;;;;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Salim Ben Hamidane;82;Moncef Marzouki;Ministre des Domaines de l'Etat et des Affaires foncières;1969;2011;3;CPR;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;gew;gew;opp;opp;gef;gef;;;uf;uf;uf;uf;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Mohamed Ben Salem;83;Moncef Marzouki;Ministre de l'agriculture;1953;2011;3;Ennahdha;m;Demokratie;;;;;;;;;;;;;;;;;;;;;;;;gef;opp;opp;opp;gef;gef;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;opp;opp;opp
M_mia El Benna;84;Moncef Marzouki;Ministre de l'Environnement;1966;2011;2;Independant;f;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;uf;uf;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;cadu;cadu;cadu;cadu;cadu
Rachid Sabbagh;85;Ali Larayedh;Ministre de la D_fense;1948;2011;3;Independant;m;Demokratie;;;;;;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ju;ju;ju;ju;ju;ju;ju;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
Lotfi Ben Jeddou;86;Ali Larayedh;Ministre de l'Int_rieur;1964;2013;2;Independant;m;Demokratie;Kasserine;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju
